utc_timestamp,cet_cest_timestamp,ES_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,22734
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,21286
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,20264
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,19905
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,20010
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,20377
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,20094
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,20637
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,22250
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,23547
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,24133
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,24713
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,24672
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,23528
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,23118
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,23606
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,26447
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,28020
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,29014
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,29571
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,29031
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,26798
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,24298
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,21881
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,20495
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,19730
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,19500
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,20113
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,22153
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,32383
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,32358
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,33955
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,33851
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,32324
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,29866
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,27243
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,24723
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,22861
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,21963
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,21540
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,21642
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,22434
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,23787
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,25305
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,27745
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,30101
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,30495
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,29893
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,29659
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,29268
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,28375
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,27840
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,28102
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,30973
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,32130
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,32763
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,32875
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,31532
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,29366
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,26818
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,24299
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,22546
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,21480
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,20937
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,21035
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,21476
