time,local_time,electricity,wind_speed
01-01-2015 00:00,01-01-2015 01:00,50.031,4.306
01-01-2015 01:00,01-01-2015 02:00,82.902,4.988
01-01-2015 02:00,01-01-2015 03:00,121.623,5.62
01-01-2015 03:00,01-01-2015 04:00,128.826,5.724
01-01-2015 04:00,01-01-2015 05:00,118.837,5.569
01-01-2015 05:00,01-01-2015 06:00,104.163,5.351
01-01-2015 06:00,01-01-2015 07:00,131.28,5.759
01-01-2015 07:00,01-01-2015 08:00,179.973,6.391
01-01-2015 08:00,01-01-2015 09:00,202.474,6.653
01-01-2015 09:00,01-01-2015 10:00,191.154,6.523
01-01-2015 10:00,01-01-2015 11:00,86.153,5.037
01-01-2015 11:00,01-01-2015 12:00,35.536,3.927
01-01-2015 12:00,01-01-2015 13:00,34.919,3.903
01-01-2015 13:00,01-01-2015 14:00,29.995,3.761
01-01-2015 14:00,01-01-2015 15:00,21.636,3.466
01-01-2015 15:00,01-01-2015 16:00,16.071,3.243
01-01-2015 16:00,01-01-2015 17:00,11.414,3.022
01-01-2015 17:00,01-01-2015 18:00,8.56,2.855
01-01-2015 18:00,01-01-2015 19:00,10.196,2.948
01-01-2015 19:00,01-01-2015 20:00,17.713,3.32
01-01-2015 20:00,01-01-2015 21:00,29.763,3.753
01-01-2015 21:00,01-01-2015 22:00,51.918,4.351
01-01-2015 22:00,01-01-2015 23:00,82.701,4.984
01-01-2015 23:00,02-01-2015 00:00,108.13,5.414
02-01-2015 00:00,02-01-2015 01:00,111.257,5.454
02-01-2015 01:00,02-01-2015 02:00,85.176,5.025
02-01-2015 02:00,02-01-2015 03:00,53.681,4.383
02-01-2015 03:00,02-01-2015 04:00,37.38,3.973
02-01-2015 04:00,02-01-2015 05:00,34.857,3.898
02-01-2015 05:00,02-01-2015 06:00,39.833,4.047
02-01-2015 06:00,02-01-2015 07:00,49.748,4.291
02-01-2015 07:00,02-01-2015 08:00,56.803,4.463
02-01-2015 08:00,02-01-2015 09:00,68.494,4.711
02-01-2015 09:00,02-01-2015 10:00,77.618,4.886
02-01-2015 10:00,02-01-2015 11:00,46.148,4.211
02-01-2015 11:00,02-01-2015 12:00,11.338,3.018
02-01-2015 12:00,02-01-2015 13:00,4.051,2.492
02-01-2015 13:00,02-01-2015 14:00,3.287,2.406
02-01-2015 14:00,02-01-2015 15:00,4.201,2.508
02-01-2015 15:00,02-01-2015 16:00,4.635,2.543
02-01-2015 16:00,02-01-2015 17:00,6.71,2.718
02-01-2015 17:00,02-01-2015 18:00,10.691,2.974
02-01-2015 18:00,02-01-2015 19:00,20.259,3.422
02-01-2015 19:00,02-01-2015 20:00,35.253,3.919
02-01-2015 20:00,02-01-2015 21:00,51.627,4.344
02-01-2015 21:00,02-01-2015 22:00,70.684,4.755
02-01-2015 22:00,02-01-2015 23:00,97.351,5.239
02-01-2015 23:00,03-01-2015 00:00,123.051,5.641
03-01-2015 00:00,03-01-2015 01:00,134.482,5.795
03-01-2015 01:00,03-01-2015 02:00,134.676,5.797
03-01-2015 02:00,03-01-2015 03:00,134.285,5.792
03-01-2015 03:00,03-01-2015 04:00,130.46,5.747
03-01-2015 04:00,03-01-2015 05:00,128.645,5.722
03-01-2015 05:00,03-01-2015 06:00,128.784,5.723
