WS50M,WS10M,WS100M,WS80M
2.78,2.02,4.51,4.306
3.54,2.43,5.269,4.988
4.02,2.67,5.973,5.62
4.11,2.71,6.093,5.724
4.05,2.67,5.923,5.569
3.87,2.6,5.678,5.351
4.27,2.76,6.138,5.759
4.78,2.9,6.853,6.391
4.97,2.52,7.184,6.653
4.95,1.65,7.1,6.523
3.56,1.72,5.419,5.037
2.29,1.39,4.176,3.927
2.3,1.26,4.155,3.903
2.29,1.22,4.005,3.761
2.07,0.98,3.688,3.466
1.89,0.92,3.433,3.243
1.85,1.34,3.137,3.022
1.7,1.3,2.946,2.855
1.78,1.35,3.046,2.948
2.17,1.62,3.448,3.32
2.62,1.91,3.918,3.753
3.24,2.26,4.572,4.351
3.9,2.59,5.275,4.984
4.33,2.78,5.757,5.414
4.34,2.79,5.801,5.454
3.9,2.62,5.319,5.025
3.25,2.3,4.606,4.383
2.78,2.03,4.155,3.973
2.66,1.95,4.073,3.898
2.79,2.03,4.234,4.047
2.99,2.14,4.499,4.291
3.14,2.22,4.688,4.463
3.33,2.28,4.97,4.711
3.32,1.9,5.216,4.886
2.52,1.13,4.501,4.211
1.26,0.82,3.163,3.018
0.74,0.44,2.584,2.492
0.74,0.4,2.493,2.406
0.93,0.49,2.607,2.508
0.98,0.66,2.632,2.543
1.05,0.8,2.799,2.718
1.21,0.93,3.071,2.974
1.69,1.26,3.555,3.422
2.29,1.68,4.095,3.919
2.84,2.01,4.562,4.344
3.32,2.27,5.019,4.755
3.8,2.47,5.564,5.239
4.17,2.61,6.017,5.641
4.3,2.65,6.191,5.795
4.3,2.67,6.193,5.797
4.32,2.7,6.186,5.792
4.33,2.72,6.135,5.747
4.35,2.75,6.105,5.722
4.37,2.77,6.105,5.723
4.31,2.75,6.035,5.663
4.1,2.68,5.811,5.465
3.8,2.46,5.523,5.195
3.38,1.45,5.235,4.87
2.12,1.02,3.835,3.606
1.35,0.75,2.755,2.618
1.55,0.96,3.246,3.074
1.32,0.84,3.281,3.118
1.21,0.71,3.243,3.084
1.13,0.55,3.193,3.032
1.2,0.88,3.117,3.008
1.19,0.91,3.093,2.997
1.28,0.99,3.221,3.116
1.58,1.21,3.546,3.418
2.04,1.53,4.027,3.862
2.33,1.71,4.269,4.084
2.46,1.79,4.349,4.157
2.66,1.91,4.491,4.286
2.89,2.06,4.69,4.467
3.09,2.19,4.898,4.657
3.23,2.27,5.068,4.814
3.16,2.24,5.016,4.769
3.05,2.21,4.968,4.727
3.15,2.25,5.103,4.849
3.32,2.34,5.295,5.021
3.62,2.47,5.586,5.281
3.77,2.44,5.879,5.525
3.63,1.4,6.073,5.618
2.31,1.18,4.565,4.284
1.35,0.85,3.597,3.419
1.68,0.95,3.99,3.773
1.56,0.84,3.928,3.715
1.31,0.65,3.666,3.476
1.04,0.48,3.416,3.243
0.97,0.69,3.332,3.203
1.52,1.13,3.852,3.695
2.53,1.79,4.905,4.654
3.79,2.37,6.308,5.9
4.82,2.27,7.591,7.004
5.42,1.75,8.296,7.6
5.28,1.83,8.039,7.376
4.69,1.83,7.377,6.791
4.62,1.9,7.188,6.623
4.6,1.91,7.039,6.488
4.37,1.85,6.673,6.159
3.85,1.96,6.18,5.722
3.18,1.88,5.573,5.183
2.99,1.71,5.34,4.972
3.04,1.69,5.339,4.971
3.2,1.53,5.531,5.137
3.45,1.58,5.795,5.368
2.47,1.49,4.504,4.229
2.08,1.26,3.862,3.646
2.58,1.5,4.303,4.037
2.72,1.61,4.465,4.184
2.83,1.66,4.612,4.318
2.87,1.62,4.746,4.439
2.69,1.24,4.653,4.344
3.15,1.49,5.119,4.777
3.21,2.06,5.045,4.761
2.86,1.91,4.625,4.388
2.73,1.86,4.386,4.171
2.82,1.9,4.411,4.192
2.95,1.96,4.516,4.283
2.99,1.82,4.669,4.401
3.04,1.29,4.863,4.539
2.76,0.93,4.599,4.286
2.3,0.74,4.059,3.798
2.17,0.79,3.758,3.531
2.2,0.79,3.666,3.445
2.29,0.75,3.648,3.42
2.21,0.74,3.594,3.37
2.19,0.74,3.556,3.335
2.16,0.81,3.431,3.227
2.2,0.83,3.197,3.009
1.5,0.91,2.627,2.507
1.03,0.67,2.484,2.392
0.52,0.38,2.253,2.188
0.63,0.47,2.402,2.324
0.76,0.56,2.566,2.471
0.79,0.54,2.572,2.474
0.99,0.55,2.683,2.566
1.78,1.19,3.243,3.108
2.4,1.69,3.865,3.693
2.41,1.69,4.038,3.854
1.69,1.27,3.426,3.301
1.35,1.04,3.071,2.975
1.41,1.09,3.169,3.067
1.72,1.3,3.43,3.308
2.11,1.55,3.75,3.601
2.47,1.77,4.135,3.954
2.58,1.84,4.343,4.145
2.86,2.0,4.642,4.416
3.18,2.16,4.931,4.674
3.2,2.18,4.948,4.69
2.82,2.0,4.565,4.346
2.35,1.73,4.046,3.875
1.8,1.38,3.474,3.349
1.67,1.26,3.346,3.224
1.82,0.94,3.555,3.368
0.88,0.62,2.656,2.557
0.8,0.44,2.564,2.469
0.37,0.16,2.143,2.089
0.29,0.25,1.929,1.898
0.86,0.57,2.281,2.209
1.5,0.64,2.754,2.619
2.19,1.42,3.323,3.173
2.21,1.6,3.359,3.23
1.84,1.38,3.073,2.971
1.4,1.08,2.706,2.633
0.92,0.74,2.331,2.283
0.82,0.66,2.236,2.192
1.09,0.84,2.427,2.369
1.34,0.99,2.58,2.508
1.86,1.33,2.978,2.871
2.7,1.58,3.995,3.774
3.21,1.21,4.862,4.524
2.45,1.42,4.241,3.985
1.93,1.15,3.638,3.439
1.63,0.99,3.256,3.093
1.34,0.83,3.093,2.947
0.86,0.57,2.951,2.826
0.84,0.55,3.178,3.03
1.43,0.9,3.363,3.191
1.78,1.25,3.181,3.027
1.76,1.17,3.205,3.044
1.43,0.9,3.107,2.96
1.12,0.73,2.602,2.5
1.61,1.04,3.034,2.876
1.65,0.87,3.429,3.238
1.54,0.99,3.345,3.2
1.26,0.96,3.05,2.952
1.26,0.96,3.079,2.98
1.02,0.78,3.027,2.931
0.46,0.33,2.716,2.635
1.67,1.23,3.607,3.467
3.02,2.03,4.891,4.632
4.15,2.46,6.194,5.787
4.98,2.09,7.309,6.743
5.41,1.76,7.885,7.238
5.43,1.73,7.833,7.19
5.2,1.72,7.384,6.789
4.83,1.87,6.822,6.294
4.32,2.32,6.141,5.717
3.97,2.49,5.664,5.315
3.91,2.52,5.586,5.252
4.08,2.35,5.883,5.495
3.85,1.46,5.777,5.348
2.37,1.44,4.208,3.961
1.82,1.1,3.688,3.491
1.51,0.92,3.159,3.007
1.35,0.86,2.768,2.642
1.27,0.81,2.58,2.462
1.08,0.59,2.606,2.492
0.74,0.56,2.284,2.231
0.25,0.2,2.091,2.055
1.4,1.08,3.293,3.184
2.41,1.74,4.433,4.232
3.21,2.18,5.348,5.056
3.93,2.45,6.121,5.738
4.6,2.36,6.865,6.372
5.1,2.13,7.396,6.82
5.42,1.81,7.707,7.079
5.55,1.89,7.698,7.069
5.48,1.84,7.421,6.818
5.13,1.9,6.878,6.343
4.63,2.06,6.171,5.73
4.24,2.51,5.575,5.226
3.88,2.44,5.125,4.828
3.46,2.28,4.706,4.454
3.08,2.01,4.464,4.228
2.63,1.11,4.255,3.987
1.48,0.87,3.134,2.984
1.78,1.04,3.135,2.964
2.05,1.23,3.816,3.589
2.28,1.36,4.289,4.03
2.44,1.39,4.552,4.27
2.11,1.0,4.308,4.036
2.29,1.36,4.378,4.136
2.48,1.68,4.435,4.22
2.18,1.49,4.129,3.939
1.7,1.16,3.613,3.462
1.55,1.06,3.296,3.164
1.63,1.1,3.196,3.066
1.43,0.87,3.136,3.0
0.94,0.3,3.095,2.969
0.78,0.4,3.377,3.246
0.45,0.22,3.347,3.222
0.32,0.18,3.332,3.205
0.37,0.17,3.404,3.258
0.68,0.46,3.457,3.305
1.08,0.72,3.628,3.459
1.63,1.03,4.086,3.87
2.55,1.16,4.957,4.629
2.93,0.97,5.359,4.966
2.15,1.15,4.444,4.164
2.56,1.4,4.62,4.326
2.5,1.45,4.555,4.274
1.95,1.14,4.353,4.108
1.38,0.77,3.94,3.743
1.31,0.71,3.88,3.687
1.62,0.8,4.172,3.94
2.26,1.12,4.842,4.54
3.09,1.76,5.714,5.351
3.59,1.86,6.237,5.81
3.94,2.0,6.578,6.11
4.22,2.05,6.902,6.391
4.66,1.81,7.484,6.89
5.12,1.73,7.949,7.296
4.99,1.92,7.642,7.03
4.72,1.95,7.227,6.662
4.61,2.02,7.052,6.508
4.44,2.02,6.799,6.282
4.01,2.21,6.371,5.905
3.63,2.24,6.07,5.638
3.84,2.11,6.303,5.841
3.89,2.25,6.372,5.909
3.96,2.35,6.339,5.889
3.86,2.24,6.091,5.669
3.28,2.16,5.365,5.023
4.08,2.42,6.316,5.875
4.79,2.71,7.141,6.616
5.21,2.91,7.487,6.929
5.23,2.9,7.432,6.876
5.03,2.74,7.28,6.737
4.68,2.42,6.931,6.411
4.79,1.99,7.05,6.486
5.28,2.1,7.626,7.004
5.07,2.46,7.563,6.964
4.83,2.49,7.502,6.917
4.71,2.53,7.471,6.895
4.76,2.59,7.642,7.05
4.94,2.71,7.87,7.257
5.07,2.78,7.916,7.298
5.24,2.91,7.927,7.307
5.34,3.02,7.977,7.353
5.36,3.12,7.895,7.281
5.2,3.08,7.567,6.988
5.6,3.18,7.979,7.356
5.8,3.26,8.161,7.516
5.91,3.31,8.223,7.574
6.29,3.38,8.506,7.823
7.07,3.71,9.149,8.402
6.79,3.57,9.11,8.38
6.67,3.57,9.277,8.54
6.18,3.31,9.096,8.389
5.66,3.03,8.689,8.028
5.34,2.85,8.081,7.472
5.01,2.62,7.799,7.213
4.44,2.25,7.188,6.653
4.19,1.89,7.041,6.505
4.14,1.7,6.923,6.389
4.23,1.6,6.891,6.351
3.56,1.52,6.234,5.765
3.03,1.48,5.714,5.304
2.91,1.38,5.56,5.165
2.93,1.48,5.525,5.137
3.06,1.62,5.548,5.158
3.5,1.73,5.745,5.326
3.54,1.75,5.532,5.136
3.7,1.75,5.607,5.2
3.57,1.61,5.446,5.052
3.45,1.4,5.226,4.845
3.35,1.52,5.048,4.684
3.02,1.55,4.809,4.474
3.12,1.68,4.865,4.529
3.29,1.86,5.081,4.733
3.55,2.05,5.349,4.985
4.21,2.47,6.12,5.687
4.64,2.67,6.76,6.269
5.58,3.11,7.702,7.117
5.96,3.32,8.07,7.449
5.57,3.17,7.783,7.194
5.4,3.06,7.6,7.027
5.42,3.05,7.596,7.011
5.6,3.09,7.897,7.275
5.88,3.22,8.34,7.677
6.19,3.37,8.863,8.153
6.42,3.49,9.202,8.46
6.76,3.68,9.671,8.889
7.12,3.85,10.213,9.391
7.6,4.06,10.761,9.888
8.33,4.49,11.572,10.627
8.6,4.6,11.851,10.883
8.63,4.6,11.968,10.992
9.03,4.78,12.53,11.501
9.26,4.9,12.921,11.857
9.41,4.95,13.108,12.028
9.56,5.05,13.29,12.194
9.64,5.08,13.476,12.364
9.59,5.03,13.51,12.399
9.18,4.81,13.138,12.067
8.88,4.64,12.892,11.849
8.33,4.37,12.324,11.337
7.6,3.98,11.454,10.55
6.34,3.31,10.13,9.352
4.17,2.28,7.869,7.312
2.88,1.6,5.859,5.478
3.03,1.67,5.68,5.297
3.19,1.66,6.222,5.797
2.88,1.5,6.039,5.633
2.64,1.45,5.631,5.254
2.68,1.52,5.462,5.095
2.79,1.63,5.423,5.059
